fdc_id,description,Energy (Atwater Specific Factors) (KCAL),Protein (G),Total lipid (fat) (G),"Carbohydrate, by difference (G)","Fiber, total dietary (G)","Sugars, total including NLEA (G)",Leucine (G),"Fatty acids, total monounsaturated (G)","PUFA 18:2 n-6 c,c (LA) (G)","PUFA 18:3 n-3 c,c,c (ALA) (G)",PUFA 20:5 n-3 (EPA) (G),PUFA 22:6 n-3 (DHA) (G),"Fatty acids, total trans","Sugars, added","Fatty acids, total saturated (G)","Vitamin A, RAE (UG)","Vitamin C, total ascorbic acid (MG)",Vitamin D (D2 + D3) (UG),Vitamin E (alpha-tocopherol) (MG),Vitamin B-6 (MG),"Folate, DFE (UG)",Biotin (UG),"Magnesium, Mg (MG)","Zinc, Zn (MG)","Selenium, Se (UG)","Iron, Fe (MG)","Potassium, K (MG)",Niacin (MG),"Calcium, Ca (MG)","Copper, Cu (MG)","Iodine, I (UG)","Manganese, Mn (MG)","Molybdenum, Mo (UG)","Phosphorus, P (MG)",Thiamin (MG),Riboflavin (MG),Pantothenic acid (MG),Vitamin B-12 (UG),Sodium (mg),Added Sugars (g)
170555,"Seeds, cottonseed flour, partially defatted (glandless)",357.619048,40.96,6.2,40.54,3,0,2.798,1.133,0,0,0,0,0,0,1.588,22,2.4,0,0,0.769,229,0,721,11.69,5.6,12.66,1772,4.065,478,1.18,0,2.143,0,1597,2.102,0.399,0.448,0,35,0
170556,"Seeds, pumpkin and squash seed kernels, dried",559,30.23,49.05,10.71,6,1.4,2.419,16.242,20.667,0.12,0,0,0.064,0,8.659,1,1.9,0,2.18,0.143,58,0,592,7.81,9.4,8.82,809,4.987,46,1.343,0,4.543,0,1233,0.273,0.153,0.75,0,7,0
170557,"Seeds, pumpkin and squash seed kernels, roasted, without salt",571.666667,29.84,49.05,14.71,6.5,1.29,2.388,15.734,19.559,0.111,0,0,0.042,0,8.544,0,1.8,0,0.56,0.1,57,0,550,7.64,9.4,8.07,788,4.43,52,1.275,0,4.49,0,1174,0.07,0.15,0.57,0,18,0
170558,"Seeds, safflower seed kernels, dried",515,16.18,38.45,34.29,0,0,1.154,4.848,0,0,0,0,0,0,3.682,3,0,0,0,1.17,160,0,353,5.05,0,4.9,687,2.284,78,1.747,0,2.014,0,644,1.163,0.415,4.03,0,3,0
170559,"Seeds, safflower seed meal, partially defatted",340.714286,35.62,2.39,48.73,0,0,2.54,0.272,0,0,0,0,0,0,0.207,2,0,0,0,1.161,159,0,350,5.01,0,4.86,68,2.265,77,1.733,0,1.998,0,638,1.153,0.412,3.996,0,3,0
170560,"Seeds, sesame flour, low-fat",331.666667,50.14,1.75,35.51,0,0,3.841,0.543,0,0,0,0,0,0,0.201,3,0,0,0,0.142,29,0,338,10,0,14.22,397,12.533,149,1.425,0,1.396,0,757,2.516,0.269,2.745,0,39,0
170561,"Seeds, sesame meal, partially defatted",564.761905,16.96,48,26.04,0,0,1.299,18.127,0,0,0,0,0,0,6.722,3,0,0,0,0.146,30,0,346,10.23,0,14.55,406,12.816,153,1.457,0,1.427,0,774,2.573,0.275,2.807,0,39,0
170562,"Seeds, sunflower seed kernels, dried",582.142857,20.78,51.46,20,8.6,2.62,1.659,18.528,0,0,0.014,0,0,0,4.455,3,1.4,0,35.17,1.345,227,0,325,5,53,5.25,645,8.335,78,1.8,0,1.95,0,660,1.48,0.355,1.13,0,9,0
170563,"Seeds, sunflower seed kernels, dry roasted, without salt",582,19.33,49.8,24.07,11.1,2.73,1.408,9.505,0,0,0,0,0,0,5.219,0,1.4,0,26.1,0.804,237,0,129,5.29,79.3,3.8,850,7.042,70,1.83,0,2.11,0,1155,0.106,0.246,7.042,0,3,0
170564,"Seeds, sunflower seed kernels, oil roasted, without salt",589.761905,20.06,51.3,22.89,10.6,3.11,1.461,8.063,34.124,0.076,0,0,0.158,0,7.068,0,1.1,0,36.33,0.792,234,0,127,5.21,78.2,4.28,483,4.13,87,1.804,0,2.08,0,1139,0.32,0.28,6.942,0,3,0
